,rota,atributo 1,atributo 2,correlação,correlação absoluta
442,sup,physicalDamageDealt,trueDamageDealtToChampions,0.32657503322961967,0.32657503322961967
74,adc,kills,totalDamageDealt,0.3257960517762618,0.3257960517762618
228,adc,totalDamageDealtToChampions,visionScore,0.3253452650131457,0.3253452650131457
27,adc,deaths,magicalDamageTaken,0.3248203830111559,0.3248203830111559
773,mid,totalDamageDealtToChampions,totalDamageTaken,0.32340153863866844,0.32340153863866844
583,mid,deaths,physicalDamageTaken,0.322711551878909,0.322711551878909
902,jg,kills,totalDamageDealt,0.32189610918677986,0.32189610918677986
510,sup,totalDamageTaken,trueDamageDealt,0.321090913892186,0.321090913892186
1262,top,physicalDamageDealt,timeCCingOthers,-0.3197184839460941,0.3197184839460941
1220,top,magicDamageDealt,totalTimeCrowdControlDealt,0.3193976994227779,0.3193976994227779
755,mid,timeCCingOthers,totalTimeCrowdControlDealt,0.3184273925385089,0.3184273925385089
391,sup,magicDamageDealt,totalMinionsKilled,0.31681808013688756,0.31681808013688756
273,adc,visionScore,visionWardsBoughtInGame,0.3165107283744768,0.3165107283744768
108,adc,magicDamageDealt,physicalDamageDealtToChampions,-0.31625740062614527,0.31625740062614527
490,sup,totalDamageDealt,totalTimeCrowdControlDealt,0.3145781873065151,0.3145781873065151
827,mid,visionWardsBoughtInGame,wardsPlaced,0.3132491261502733,0.3132491261502733
898,jg,kills,physicalDamageDealt,0.3130982526709227,0.3130982526709227
97,adc,longestTimeSpentLiving,totalMinionsKilled,0.3122725831967798,0.3122725831967798
286,sup,assists,timeCCingOthers,0.311829254258507,0.311829254258507
451,sup,physicalDamageDealtToChampions,totalDamageTaken,0.311492489549792,0.311492489549792
475,sup,timeCCingOthers,totalDamageDealtToChampions,0.3068852971859677,0.3068852971859677
194,adc,physicalDamageTaken,trueDamageTaken,0.30602222230652537,0.30602222230652537
153,adc,neutralMinionsKilled,visionScore,0.30398554235147424,0.30398554235147424
437,sup,physicalDamageDealt,totalDamageTaken,0.30361735645461985,0.30361735645461985
1051,jg,totalDamageDealtToChampions,totalMinionsKilled,0.3027116572377161,0.3027116572377161
454,sup,physicalDamageDealtToChampions,totalTimeCrowdControlDealt,0.3009367957313261,0.3009367957313261
70,adc,kills,physicalDamageDealt,0.30007568202187673,0.30007568202187673
1022,jg,physicalDamageTaken,trueDamageTaken,0.2998003012761091,0.2998003012761091
524,sup,totalMinionsKilled,totalTimeCrowdControlDealt,0.2995325371362558,0.2995325371362558
1042,jg,totalDamageDealt,totalTimeCrowdControlDealt,0.2987436662160025,0.2987436662160025
1068,jg,totalHeal,totalMinionsKilled,-0.29784225294516303,0.29784225294516303
429,sup,neutralMinionsKilled,visionScore,-0.2978070774926267,0.2978070774926267
943,jg,magicDamageDealt,totalMinionsKilled,0.2967577536365594,0.2967577536365594
579,mid,deaths,magicalDamageTaken,0.2959949181744459,0.2959949181744459
148,adc,neutralMinionsKilled,totalMinionsKilled,0.2959458245840762,0.2959458245840762
189,adc,physicalDamageTaken,totalHeal,0.2946480668500781,0.2946480668500781
422,sup,neutralMinionsKilled,totalDamageTaken,0.294114906754209,0.294114906754209
1248,top,neutralMinionsKilled,totalDamageDealt,0.29382596364630403,0.29382596364630403
1047,jg,totalDamageDealt,visionWardsBoughtInGame,-0.29270204461569954,0.29270204461569954
1332,top,totalDamageDealtToChampions,visionScore,0.29250085128795805,0.29250085128795805
1173,top,kills,neutralMinionsKilled,0.2917014793362485,0.2917014793362485
1081,jg,totalMinionsKilled,visionWardsBoughtInGame,-0.2908735663953781,0.2908735663953781
1257,top,neutralMinionsKilled,visionScore,0.2907518730816599,0.2907518730816599
69,adc,kills,neutralMinionsKilled,0.29044432748255294,0.29044432748255294
131,adc,magicalDamageTaken,totalHeal,0.28957369653632525,0.28957369653632525
221,adc,totalDamageDealtToChampions,totalDamageTaken,0.288992846293706,0.288992846293706
